KEY | SOURCE TEXT | SCREEN / LOCATION | TRANSLATOR NOTE
staffops.tasks.tabs.my | My tasks | JP Admin / StaffOps / Tasks Home | Tab label for assigned tasks.
staffops.tasks.tabs.branch | Branch | JP Admin / StaffOps / Tasks Home | Branch-scope tab.
staffops.tasks.tabs.sent | Sent | JP Admin / StaffOps / Tasks Home | Tasks created by actor.
staffops.tasks.error.unavailable.title | Tasks unavailable | JP Admin / StaffOps / Tasks Home | Error card title.
staffops.tasks.error.unavailable.body | Something went wrong. | JP Admin / StaffOps / Tasks Home | Generic task-list error.
staffops.tasks.empty.my.title | Nothing on your plate | JP Admin / StaffOps / Tasks Home | Empty assigned-task list.
staffops.tasks.empty.my.body | No tasks assigned to you yet. Pull to refresh. | JP Admin / StaffOps / Tasks Home | Preserve pull-to-refresh guidance.
staffops.tasks.empty.branch.title | No branch tasks | JP Admin / StaffOps / Tasks Home | Empty branch tab.
staffops.tasks.empty.branch.body | No tasks for your branches in the current view. | JP Admin / StaffOps / Tasks Home | Branch-scope empty state.
staffops.tasks.empty.sent.title | No sent tasks | JP Admin / StaffOps / Tasks Home | Empty sent tab.
staffops.tasks.empty.sent.body | You haven't created any tasks yet. | JP Admin / StaffOps / Tasks Home | Empty sent task state.
staffops.tasks.create.title_field | Title | JP Admin / StaffOps / Create Task | Field label.
staffops.tasks.create.title_placeholder | Restock product display | JP Admin / StaffOps / Create Task | Example task title.
staffops.tasks.create.description_label | Description (optional) | JP Admin / StaffOps / Create Task | Field label.
staffops.tasks.create.description_placeholder | Details, instructions, expected outcome… | JP Admin / StaffOps / Create Task | Placeholder; ellipsis intentional.
staffops.tasks.create.urgency_label | Urgency | JP Admin / StaffOps / Create Task | Field label.
staffops.tasks.create.task_date_label | Task date | JP Admin / StaffOps / Create Task | Date field.
staffops.tasks.create.date_placeholder | 2026-05-20 | JP Admin / StaffOps / Create Task | Example date.
staffops.tasks.create.date_hint | Format: YYYY-MM-DD | JP Admin / StaffOps / Create Task | Preserve date format.
staffops.tasks.create.loading_targets | Loading targets… | JP Admin / StaffOps / Create Task | Target picker loading text.
staffops.tasks.create.submit | Create and send task | JP Admin / StaffOps / Create Task | Submit accessibility/action text.
staffops.tasks.create.pick_target.title | Pick a target | JP Admin / StaffOps / Create Task alert | Validation title.
staffops.tasks.create.pick_target.body | Choose who this task should go to. | JP Admin / StaffOps / Create Task alert | Validation body.
staffops.tasks.detail.acknowledge | Acknowledge | JP Admin / StaffOps / Task Detail | Employee confirms they saw task.
staffops.tasks.detail.mark_done | Mark done | JP Admin / StaffOps / Task Detail | Employee marks task complete.
staffops.tasks.detail.send_task | Send task | JP Admin / StaffOps / Task Detail | Sends draft task.
staffops.tasks.detail.cancel_task | Cancel task | JP Admin / StaffOps / Task Detail | Cancels task.
staffops.tasks.detail.cancel_confirm.title | Cancel this task? | JP Admin / StaffOps / Task Detail dialog | Destructive confirmation.
staffops.tasks.detail.cancel_confirm.body | The task will be cancelled for all assignees. | JP Admin / StaffOps / Task Detail dialog | Must preserve all-assignees impact.
staffops.attachments.error.session.title | Session expired | JP Admin / StaffOps / Attachments | Re-auth required.
