KEY | SOURCE TEXT | SCREEN / LOCATION | TRANSLATOR NOTE
api.auth.user_not_setup | User account is not set up. | API / User controller / USER_NOT_SETUP | May be shown when auth exists but profile setup is incomplete.
api.security.blocked | Request blocked by security rules | API / Security middleware | Generic security block; do not reveal rule internals.
api.staffops.metadata.customer_forbidden | Customer accounts cannot access StaffOps metadata. | API / StaffOps metadata / STAFFOPS_FORBIDDEN_TIER | Staff-only access boundary.
api.staffops.metadata.branch_scope_targets | Actor cannot view targets in that branch. | API / StaffOps metadata / STAFFOPS_BRANCH_SCOPE_VIOLATION | Branch scope denial.
api.staffops.metadata.branch_scope_reviewers | Actor cannot request reviewers in that branch. | API / StaffOps metadata / STAFFOPS_BRANCH_SCOPE_VIOLATION | Reviewer branch scope denial.
api.staffops.workflow.reason_required | reason is required. | API / StaffOps workflow request / WORKFLOW_REASON_REQUIRED | Validation error.
api.staffops.workflow.target_required | target is required for StaffOps workflow requests. | API / StaffOps workflow request / WORKFLOW_TARGET_REQUIRED | Reviewer target must be selected.
api.staffops.workflow.self_only | StaffOps-4C workflow requests are self-only. | API / StaffOps workflow request / WORKFLOW_RELATED_EMPLOYEE_FORBIDDEN | V1 self-service boundary.
api.staffops.workflow.absence_kind | absenceKind must be SICK / PERSONAL / VACATION / EMERGENCY / UNPAID / OTHER. | API / StaffOps workflow request / WORKFLOW_ABSENCE_KIND_INVALID | Preserve enum values if shown.
api.staffops.workflow.schedule_not_found | Linked schedule not found. | API / StaffOps workflow request | Linked timetable schedule missing.
api.staffops.workflow.schedule_forbidden | Linked schedule does not belong to the requesting employee. | API / StaffOps workflow request | V1 self-service schedule boundary.
api.staffops.workflow.schedule_branch_forbidden | Actor cannot reference a schedule outside their branch scope. | API / StaffOps workflow request | Branch-scope validation.
api.staffops.workflow.schedule_branch_mismatch | linkedScheduleId branch does not match branchId. | API / StaffOps workflow request | API field names may be mapped by clients later.
api.staffops.workflow.payload_unknown_key | workflowPayload contains unsupported fields. | API / StaffOps workflow utility / STAFFOPS_WORKFLOW_PAYLOAD_UNKNOWN_KEY | Sanitization/allow-list error.
api.staffops.workflow.break_start_invalid | startTime must be HH:MM (24h). | API / StaffOps workflow utility / STAFFOPS_WORKFLOW_BREAK_START_INVALID | Preserve 24-hour format.
api.staffops.workflow.break_end_invalid | endTime must be HH:MM (24h). | API / StaffOps workflow utility / STAFFOPS_WORKFLOW_BREAK_END_INVALID | Preserve 24-hour format.
api.staffops.workflow.break_range_invalid | Break endTime must be after startTime (same day). | API / StaffOps workflow utility / STAFFOPS_WORKFLOW_BREAK_RANGE_INVALID | Same-day range rule.
api.staffops.workflow.break_duration_invalid | durationMinutes must be a positive integer up to 480. | API / StaffOps workflow utility / STAFFOPS_WORKFLOW_BREAK_DURATION_INVALID | Preserve numeric max.
api.staffops.workflow.break_duration_mismatch | durationMinutes must match the start/end time range. | API / StaffOps workflow utility / STAFFOPS_WORKFLOW_BREAK_DURATION_MISMATCH | Duration/time consistency.
api.staffops.workflow.absence_date_invalid | startDate/date must be a real ISO date (YYYY-MM-DD). | API / StaffOps workflow utility / STAFFOPS_WORKFLOW_ABSENCE_DATE_INVALID | Preserve YYYY-MM-DD.
