KEY | SOURCE TEXT | SCREEN / LOCATION | TRANSLATOR NOTE
jppos.app.title | Jade Palace POS | JPPOS / App metadata | Desktop POS app title.
jppos.login.brand.title | Jade Palace POS | JPPOS / Login | Login brand title.
jppos.login.qr.preparing | Preparing POS login QR… | JPPOS / Login | QR generation loading state.
jppos.login.qr.waiting | Waiting for JP Admin approval | JPPOS / Login | Staff approval pending.
jppos.login.qr.approved | Approved — finishing sign-in… | JPPOS / Login | Approval received; signing in.
jppos.login.qr.expired | This login QR expired | JPPOS / Login | QR expired state.
jppos.login.qr.denied | POS login was denied | JPPOS / Login | Staff denied login.
jppos.login.qr.failed | Could not create POS login QR. | JPPOS / Login | QR generation failure.
jppos.login.qr.aria | QR code to approve this POS terminal — scan with JP Admin | JPPOS / Login / QR panel | Accessibility description.
jppos.login.unavailable | POS login is not available on this terminal | JPPOS / Login | Disabled login state.
jppos.login.preparing_aria | Preparing POS login QR | JPPOS / Login | Accessibility label.
jppos.status.info | Info | JPPOS / Shared status badge | Status badge label.
jppos.status.pending | Pending | JPPOS / Shared status badge | Status badge label.
jppos.status.ready | Ready | JPPOS / Shared status badge | Status badge label.
jppos.status.issue | Issue | JPPOS / Shared status badge | Status badge label.
jppos.status.idle | Idle | JPPOS / Shared status badge | Status badge label.
jppos.cashier.session.feature.complete_sale.title | Complete Sale | JPPOS / Cashier Session Gate | Feature card title.
jppos.cashier.session.feature.display.title | Customer Display sync | JPPOS / Cashier Session Gate | Feature card title.
jppos.cashier.session.feature.payments.title | Cash · Card · Wallets | JPPOS / Cashier Session Gate | Feature card title.
jppos.cashier.session.step.scan_product | Scan product | JPPOS / Cashier Session Gate | Workflow step.
jppos.cashier.session.step.create_draft | Create sale draft | JPPOS / Cashier Session Gate | Workflow step.
jppos.cashier.session.step.finalize | Finalize sale | JPPOS / Cashier Session Gate | Workflow step.
jppos.cashier.session.step.override_branch | Override branch | JPPOS / Cashier Session Gate | Workflow step.
jppos.cashier.session.unreachable | POS service unreachable | JPPOS / Cashier Session Gate | API unreachable badge.
jppos.cashier.session.required | POS session required | JPPOS / Cashier Session Gate | POS auth required badge.
jppos.cashier.session.active | POS SESSION ACTIVE | JPPOS / Cashier Session Gate | Active session badge.
jppos.cashier.session.server_enforced | Server-enforced | JPPOS / Cashier Session Gate | Security badge.
jppos.cashier.session.all_steps_offline | All steps offline | JPPOS / Cashier Session Gate | Disabled workflow badge.
jppos.cashier.session.coming_next | Coming next | JPPOS / Cashier Session Gate | Future step badge.
jppos.product.scan.placeholder | Scan barcode or enter SKU | JPPOS / Cashier / Product Scan | Product scan placeholder.
jppos.product.scan.aria | Product barcode or SKU | JPPOS / Cashier / Product Scan | Accessibility label.
jppos.product.scan.waiting | Waiting for barcode | JPPOS / Cashier / Product Scan | Idle scan state.
jppos.product.scan.found | Product found | JPPOS / Cashier / Product Scan | Successful scan state.
jppos.product.scan.not_found | No product found | JPPOS / Cashier / Product Scan | Not found state.
jppos.product.scan.failed | Scan failed | JPPOS / Cashier / Product Scan | Scan failure state.
jppos.product.scan.error.lookup | JPPOS could not look up that product right now. | JPPOS / Cashier / Product Scan | API/network failure.
jppos.product.scan.error.no_product | No product found for this code. Check the barcode and try again. | JPPOS / Cashier / Product Scan | Product not found.
