KEY | SOURCE TEXT | SCREEN / LOCATION | TRANSLATOR NOTE
cashier.header.eyebrow | CASHIER | JP Admin / Cashier screens | Section eyebrow.
cashier.scan.error.enter_code | Enter a code to search. | JP Admin / Cashier / Product Scan | Validation message.
cashier.scan.error.config | App configuration is missing. Contact admin. | JP Admin / Cashier / Product Scan | Do not expose config key names.
cashier.scan.error.session | Your session expired. Please sign in again. | JP Admin / Cashier / Product Scan | Re-auth guidance.
cashier.scan.error.cannot_sell | This product cannot be sold. | JP Admin / Cashier / Product Scan | Product unavailable fallback.
cashier.scan.camera.title | Camera permission needed | JP Admin / Cashier / Product Scan | Camera permission title.
cashier.scan.camera.allow | ALLOW CAMERA | JP Admin / Cashier / Product Scan | Permission button.
cashier.scan.camera.settings | OPEN SETTINGS | JP Admin / Cashier / Product Scan | Device settings button.
cashier.scan.manual | ENTER CODE MANUALLY | JP Admin / Cashier / Product Scan | Manual entry button.
cashier.scan.product_code | PRODUCT CODE | JP Admin / Cashier / Product Scan | Field label.
cashier.scan.product_placeholder | Enter SKU or product code | JP Admin / Cashier / Product Scan | Product code placeholder.
cashier.scan.find | FIND PRODUCT | JP Admin / Cashier / Product Scan | Submit action.
cashier.scan.looking_up | Looking up… | JP Admin / Cashier / Product Scan | Busy state.
cashier.scan.dismiss | Dismiss | JP Admin / Cashier / Product Scan | Error dismiss action.
cashier.scan.scan_another | SCAN ANOTHER | JP Admin / Cashier / Product Scan | Scan another action.
cashier.scan.status.available | AVAILABLE | JP Admin / Cashier / Product Scan | Availability chip.
cashier.scan.status.sold | SOLD | JP Admin / Cashier / Product Scan | Availability chip.
cashier.scan.status.archived | ARCHIVED | JP Admin / Cashier / Product Scan | Availability chip.
cashier.scan.status.needs_review | NEEDS REVIEW | JP Admin / Cashier / Product Scan | Availability chip.
cashier.scan.status.wrong_branch | WRONG BRANCH | JP Admin / Cashier / Product Scan | Advisory branch mismatch chip.
cashier.cart.error.missing_id | Sale draft id is missing. | JP Admin / Cashier / Cart | Route param missing.
cashier.cart.error.not_found | This sale draft could not be found. | JP Admin / Cashier / Cart | Missing draft.
cashier.cart.error.not_open | This sale draft is no longer open. Start a new draft to take payment. | JP Admin / Cashier / Cart | Draft lifecycle state.
cashier.cart.error.expired | This sale draft has expired. | JP Admin / Cashier / Cart | Draft expired.
cashier.cart.error.forbidden | You do not have access to this sale draft. | JP Admin / Cashier / Cart | Access denial.
cashier.cart.error.route_missing | Cashier API route is not available. Check API deployment. | JP Admin / Cashier / Cart | Ops-oriented user-visible error.
cashier.cart.error.api_unavailable | Could not reach Jade Palace API. Check connection and try again. | JP Admin / Cashier / Cart | Network/API error.
cashier.cart.error.malformed | JP Admin received an unexpected server response. | JP Admin / Cashier / Cart | Malformed payload.
cashier.cart.loading | Loading sale draft... | JP Admin / Cashier / Cart | Busy state.
cashier.cart.error_title | Could not load sale draft | JP Admin / Cashier / Cart | Error card title.
cashier.cart.retry | RETRY | JP Admin / Cashier / Cart | Retry action.
cashier.cart.empty.title | No products added yet | JP Admin / Cashier / Cart | Empty cart title.
cashier.cart.scan_product | SCAN PRODUCT | JP Admin / Cashier / Cart | Empty cart action.
cashier.cart.scan_another_product | SCAN ANOTHER PRODUCT | JP Admin / Cashier / Cart | Add another product action.
cashier.cart.cancel_sale | Cancel sale | JP Admin / Cashier / Cart | Sale draft cancel action.
cashier.cart.continue_payment | CONTINUE TO PAYMENT | JP Admin / Cashier / Cart | Payment entry action.
cashier.cart.remove_product | Remove product from sale | JP Admin / Cashier / Cart | Remove item action.
cashier.customer.error.enter_id | Enter a Customer ID to look up. | JP Admin / Cashier / Customer Scan | Validation.
cashier.customer.error.cart_missing | This sale draft could not be found. | JP Admin / Cashier / Customer Scan | Missing draft.
cashier.customer.camera.title | Camera access required | JP Admin / Cashier / Customer Scan | Camera permission title.
cashier.customer.enable_camera | ENABLE CAMERA | JP Admin / Cashier / Customer Scan | Permission button.
cashier.customer.open_settings | OPEN SETTINGS | JP Admin / Cashier / Customer Scan | Device settings button.
cashier.customer.enter_manual | ENTER MANUALLY | JP Admin / Cashier / Customer Scan | Manual entry.
cashier.customer.id_label | CUSTOMER ID | JP Admin / Cashier / Customer Scan | Field label.
