KEY | SOURCE TEXT | SCREEN / LOCATION | TRANSLATOR NOTE
jpui.auth.login.title | Welcome Back | JPUI / Web Auth / Login | Login heading.
jpui.auth.login.email_placeholder | you@gmail.com | JPUI / Web Auth / Login | Email placeholder.
jpui.auth.login.password_placeholder | Minimum 8 characters | JPUI / Web Auth / Login | Password placeholder.
jpui.auth.signup.name_placeholder | Rain John | JPUI / Web Auth / Signup | Name placeholder.
jpui.auth.signup.city_placeholder | Search your city | JPUI / Web Auth / Signup | Location search placeholder.
jpui.auth.signup.email_placeholder | john@gmail.com | JPUI / Web Auth / Signup | Email placeholder.
jpui.auth.signup.password_placeholder | Minimum 8 characters | JPUI / Web Auth / Signup | Password placeholder.
jpui.auth.signup.phone_placeholder | Enter your phone number | JPUI / Web Auth / Signup | Phone signup placeholder.
jpui.auth.signup.line_placeholder | your-line-id | JPUI / Web Auth / Signup | Optional LINE ID placeholder.
jpui.auth.language.english | English | JPUI / Auth / Preferred Language | Language option.
jpui.auth.language.china | China | JPUI / Auth / Preferred Language | Existing source label says China.
jpui.auth.language.thailand | Thailand | JPUI / Auth / Preferred Language | Language/country label.
jpui.auth.language.myanmar | Myanmar | JPUI / Auth / Preferred Language | Language/country label.
jpui.auth.phone.otp_placeholder | 6-digit code | JPUI / Phone Auth | OTP placeholder.
jpui.auth.phone.setup_name | John Tan | JPUI / Phone Auth / Setup Account | Name placeholder.
jpui.auth.phone.setup_city | Choose your city | JPUI / Phone Auth / Setup Account | City placeholder.
jpui.auth.phone.verified_phone | Verified phone number | JPUI / Phone Auth / Setup Account | Disabled/verified phone field.
jpui.auth.phone.email_placeholder | john@gmail.com | JPUI / Phone Auth / Setup Account | Email placeholder.
jpui.auth.phone.preferred_language | Preferred Language | JPUI / Phone Auth / Setup Account | Field label.
jpui.auth.otp.missing_access | Missing access token. Please sign in again. | JPUI / OTP | Re-auth required.
jpui.auth.otp.sending | Sending verification code... | JPUI / OTP | Web OTP loading state.
jpui.auth.reset.password_placeholder | Re-enter your new password | JPUI / Reset Password | Confirm password placeholder.
jpui.auth.reset.checking | Checking your recovery link... | JPUI / Reset Password | Recovery link loading state.
jpui.profile.loading_security | Loading security settings | JPUI / Profile Security | Loading state.
jpui.profile.security.title | Security Settings | JPUI / Profile Security | Page title.
jpui.profile.security.change_email | Change Email | JPUI / Profile Security | Section heading.
jpui.profile.security.new_email | New Email | JPUI / Profile Security | Field label.
jpui.profile.security.change_password | Change Password | JPUI / Profile Security | Section heading.
jpui.profile.security.new_password | New Password | JPUI / Profile Security | Field label.
jpui.profile.security.confirm_password | Confirm Password | JPUI / Profile Security | Field label.
jpui.profile.security.confirm_placeholder | Re-enter password | JPUI / Profile Security | Placeholder.
jpui.profile.security.otp_label | 6-digit verification code | JPUI / Profile Security OTP Dialog | Accessibility label.
jpui.profile.info.email | Email | JPUI / Profile | Info label.
jpui.profile.info.phone | Phone | JPUI / Profile | Info label.
jpui.profile.info.location | Location | JPUI / Profile | Info label.
jpui.profile.info.not_set | Not set | JPUI / Profile | Missing value fallback.
jpui.profile.phone_placeholder | Local phone number | JPUI / Profile | Phone field placeholder.
jpui.profile.tier.regular | Regular | JPUI / Profile / Membership tier | Tier label.
jpui.profile.tier.vip | VIP | JPUI / Profile / Membership tier | Tier label.
jpui.profile.tier.vvip | VVIP | JPUI / Profile / Membership tier | Tier label.
jpui.profile.staff_fallback | Staff member | JPUI / Profile | Staff profile fallback name.
jpui.customer_id.qr_aria | QR code for Jade Palace Customer ID {customerId} | JPUI / Customer ID Card | Preserve {customerId}; stable customer ID.
jpui.customer_id.error.sign_in | Please sign in to view your Customer ID. | JPUI / Customer ID Card | Customer must authenticate.
jpui.customer_id.copy_success | Customer ID copied. | JPUI / Customer ID Card | Clipboard success.
jpui.customer_id.stability_note | This Customer ID is permanent and cannot be changed. | JPUI / Customer ID Card | Safety-critical: stable ID, no rotation.
